freq,PDB: 2OAY; native form of c1 inhibitor  _deriv_baselineCorr,PDB: 2OAY; native form of c1 inhibitor  _deriv_baselineCorr_ref_compare,PDB: 1LQ8; split form of c1 inhibitor  _deriv_baselineCorr,PDB: 1V94; carbonic anhydrase (bovin)_deriv_baselineCorr,PDB: 1ATH; cleaved form of anti-thrombin_deriv_baselineCorr,PDB: 3IF7; calmodulin_deriv_baselineCorr,PDB: 2MLT; melittin _deriv_baselineCorr,PDB: 3DLW; native anti-chymotrypsin_deriv_baselineCorr,PDB: 1T1F; native form of anti-thrombin  _deriv_baselineCorr,PDB: 1OVA; native ovalbumin _deriv_baselineCorr,PDB: 1H3E; Split form ovalbumin_deriv_baselineCorr,PDB: 1T5A; pyruvate kinase_deriv_baselineCorr,PDB: 3ENJ; pig citrate synthase _deriv_baselineCorr,PDB: 2BRD; bacteriorhodopsin in purple membrane_deriv_baselineCorr,PDB: 2AXT; phtosystem II reaction centre  _deriv_baselineCorr,PDB: 2I37; rhodopsin bleached _deriv_baselineCorr,PDB: 1HZX; rhodopsin unbleached_deriv_baselineCorr,PDB: 2ACH; sact1 DIFF_deriv_baselineCorr,PDB: 1AS4; split anti-chymotrypsin_deriv_baselineCorr,PDB: 1GNS; subtilisin _deriv_baselineCorr,PDB: 3CEI; superoxide dismutase _deriv_baselineCorr,PDB: 1QOV; Reaction centere R. Sphae._deriv_baselineCorr,PDB: 1SSN; staphylokinase-B wild type _deriv_baselineCorr,PDB: 1yph; chymotrypsin(bovin)_deriv_baselineCorr,PDB: 3A7T; trypsin (bovine)_deriv_baselineCorr,PDB: 3V03; albumin (bovine)_deriv_baselineCorr,PDB: 3AGV; IgG (Human)_deriv_baselineCorr,PDB: 1QHO; alpha amylase_type2 (basillus species)_deriv_baselineCorr,PDB: 1DAY; alpha casein (bovine milk)_deriv_baselineCorr,PDB: 4GCR; apha-Crystallin(Bovine eye lens)_deriv_baselineCorr,PDB: 1HFZ; alpha_lactalbumin (human)_deriv_baselineCorr,PDB: 1a06; albumin (human)_deriv_baselineCorr,PDB: 1E7H; albumin (sheep)_deriv_baselineCorr,PDB: 6adh; alcohol dehydrogenase_deriv_baselineCorr,PDB: 1SLF; avidin_deriv_baselineCorr,PDB: 3LDJ; Aprotinin (bovine lung)_deriv_baselineCorr,PDB: 1BEB; β-lactoglobulin_deriv_baselineCorr,PDB: 3M1K; carbonic anhydrase (human)_deriv_baselineCorr,PDB: 1bkv; collagen (calf skin)_deriv_baselineCorr,PDB: 1ovt; conalbumin(chicken egg white)_deriv_baselineCorr,PDB: 3cna; concanavalin(jack bean)_deriv_baselineCorr,PDB: 1HRC; cytochrome (Horse heart)_deriv_baselineCorr,PDB: 1mpx; d_amino acid dehydrogenase_deriv_baselineCorr,PDB: 2OII; elastin_deriv_baselineCorr,PDB: 1W17; esterase (bacillus sybstilis)_deriv_baselineCorr,PDB: 1T1C; esterase (rhizopus oryzae)_deriv_baselineCorr,PDB: 3F32; ferritin (horse spleen)_deriv_baselineCorr,PDB: 1DLP; Fetuin (calf serum)_deriv_baselineCorr,PDB: 3ghg; fibrinogen(bovine plasma)_deriv_baselineCorr,PDB: 1GAL; glucose oxidase (aspegillus niger)_deriv_baselineCorr,PDB: 3AGV; IgG (bovine) _deriv_baselineCorr,PDB: 2OLY; insulin (human)_deriv_baselineCorr,PDB: 1CRL; lipaseA (candida rugosa)_deriv_baselineCorr,PDB: 1OIL; lipase (wheat)_deriv_baselineCorr,PDB: 3H3F; l_lactic (rabbit muscle)_deriv_baselineCorr,PDB: 1NZ2; myoglobulin(horse muscle)_deriv_baselineCorr,PDB: 9pap; papain(papaya lanex)_deriv_baselineCorr,PDB: 1yx9; pepsin(pepsin gastric mucosa)_deriv_baselineCorr,PDB: 1lsh; phosvitin(from egg white)_deriv_baselineCorr,PDB: 3AJ8; proteinase (from bovine pancreas)_deriv_baselineCorr,PDB: 1HCH; peroxidase (horseradish)_deriv_baselineCorr,PDB: 1rbx; ribnuA(from bovine pancreas)_deriv_baselineCorr,PDB: 3djv; ribnuS.dpt (from bovine pancreas)_deriv_baselineCorr,PDB: 1rbb; ribonucleausB(bovine pancrease)_deriv_baselineCorr,PDB: 1RQW; thaumactin (t.danielli)_deriv_baselineCorr,PDB: 1QGD; Transketalose (E.coli)_deriv_baselineCorr,PDB: 2J9Z; Tryptophan Synthase_deriv_baselineCorr,PDB: 1BBI; typsin-chymotripsin_deriv_baselineCorr,PDB: 1UHB; trypsin (hog pancreas)_deriv_baselineCorr,PDB: 3A7T; trypsin (bovine).1_deriv_baselineCorr,PDB: 2tga; trypsinogen(bovine pancreas)_deriv_baselineCorr,PDB: 2ZCB; ubiquitin (bovine)_deriv_baselineCorr,PDB: 4H9M; urease (Canavalia ensiformis)_deriv_baselineCorr,PDB: 3NNE; choline oxidase_deriv_baselineCorr,PDB: 1bg3; hexakinase_deriv_baselineCorr,PDB: 1w2t; invertase(from baker's yeast)_deriv_baselineCorr,PDB: 1LDM; lactic dehydrogenase_deriv_baselineCorr,PDB: 1IOA; lectin ( p.vulgaris)_deriv_baselineCorr,PDB: 2lyz; Lysozyme (chicken egg)_deriv_baselineCorr,PDB: 2QSP; Hemoglobin bovine_deriv_baselineCorr,PDB: 1YJ0; annexinV/without calcium_deriv_baselineCorr,PDB: 2EIB; galactose oxidase _deriv_baselineCorr,PDB: 1HNA; lglutathion (reduced)_deriv_baselineCorr,PDB: 2ZFG; porin _deriv_baselineCorr,PDB: 3CWL; alpha-1-antitrypsin _deriv_baselineCorr
1705,0.002184376,0.002184376,0.002278629,0.003712209,0.004691472,0.00548653,0.004471836,0.002325404,0.004587767,0.001457352,0.002025524,0.006562015,0.00590976,0.006540248,0.008168116,0.004808922,0.004535246,0.003244214,0.003244214,0.004199704,0.00167233,0.000436392,0.003605642,0.006593229,0.003683773,0.010246672,0.010157494,0.010803042,0.003739,0.002569168,0.003685881,0.00870434,0.009124018,0.008267551,0.000493567,0.008971106,0.008338247,0.008572861,0.014883002,0.005248422,0.001539532,0.007658773,0.015040668,0.009944005,0.006376629,0.002595391,0.00632138,0.00815291,0.005108278,0.001455485,0.002285003,0.006151192,0.008063832,0.001935557,0.003676688,0.009782188,0.005795892,0.004696083,0.001291621,0,0.00536194,0.007138679,0.006514602,0.006318215,0.004391652,0.008821436,0.001810347,0.003217364,0.002596824,0.003922586,0.002924179,0.007427468,0.004079071,0.002040611,0.006064497,0.007070731,0.006627806,0.002476426,0.003911493,0.015941099,0.006958577,0.003248676,0.010475798,0.000298656,0.009164629
1704,0.001162701,0.001162701,0.001268745,0.003436866,0.004053941,0.004848713,0.004001272,0.001729724,0.004046138,0.001684338,0.00211264,0.00639795,0.005434394,0.006551377,0.008959345,0.004553321,0.004205433,0.002688914,0.002688914,0.003653766,0.000949487,2.32E-05,0.003154937,0.005441132,0.002806907,0.009594848,0.007533869,0.009902788,0.003109539,0.001816583,0.002163076,0.007541628,0.007843073,0.008342711,0.000308479,0.00682422,0.007728662,0.006602948,0.009809499,0.004221231,0.000297258,0.007166848,0.010150308,0.008882024,0.004680489,0.002307014,0.006733364,0.00665649,0.004607466,0.001197877,0.001553802,0.005226587,0.009326351,0.001177768,0.00313916,0.009529307,0.004758521,0.003715083,0.001919978,8.20E-05,0.004281157,0.005780814,0.005461651,0.005360544,0.00413102,0.008774762,0.001988832,0.002390041,0.001961143,0.002365336,0.001663757,0.006919418,0.002420548,0.001117787,0.00434381,0.006597772,0.005636807,0.001245016,0.002979525,0.012968611,0.006481289,0.001370535,0.008506511,0,0.008869997
1703,0.000279008,0.000279008,0.000479583,0.002898434,0.003510247,0.00411327,0.003620228,0.001153447,0.00359893,0.002072535,0.002355151,0.006077113,0.00492903,0.006540834,0.009692846,0.004406523,0.003920061,0.002234242,0.002234242,0.003117282,0.000346536,0,0.002563386,0.004123295,0.002006839,0.009281973,0.005024436,0.009476353,0.002203115,0.000791511,0.002041943,0.006453586,0.006399297,0.007378163,0.000484753,0.004533498,0.00570397,0.004448512,0.007653804,0.002849143,0,0.006683403,0.00805597,0.005889168,0.003800213,0.001826386,0.006128262,0.003457247,0.003933647,0.001249399,0.000959701,0.004250615,0.010751776,0.000748659,0.002709139,0.009029712,0.003660916,0.002307167,0.003735229,0.000754492,0.003105938,0.004772302,0.004246048,0.003981258,0.003583692,0.006814443,0.001351386,0.001486116,0.001203736,0.00127947,0.000844483,0.00617391,0.002151598,0.000636879,0.003454844,0.008324071,0.004962927,0.000251725,0.001850077,0.009300347,0.0059657,0.001065972,0.006611663,0.000792791,0.00855461
1702,0,0,0.000421563,0.002113252,0.003176379,0.003531859,0.00326067,0.000662362,0.003198934,0.002135407,0.002185965,0.005860604,0.004415974,0.006624008,0.010399179,0.004256703,0.003826171,0.001988764,0.001988764,0.002401181,0,0.000388699,0.001746483,0.003048004,0.001198118,0.0092559,0.002935563,0.00724941,0.001737313,0.000259512,0.001816984,0.00563222,0.005102069,0.00617561,0.000907811,0.002759521,0.004637197,0.002623226,0.007087662,0.001709486,0.000598953,0.005937034,0.00701148,0.004054837,0.002855527,0.0013778,0.006372878,0.001083615,0.002749911,0.001584289,0.000624568,0.00340306,0.010548144,0.00035607,0.001634084,0.008641138,0.002978259,0.000971917,0.003490868,0.001410572,0.002602272,0.003684692,0.00338143,0.002782665,0.002788764,0.005227518,0.001172901,0.000704756,0.000486905,0.000547142,0.000516773,0.005577504,0.001210274,5.20E-05,0.003936367,0.008513255,0.004178055,0,0.001056692,0.006220816,0.005499968,0,0.004466426,0.002599763,0.008271532
1701,0.000285771,0.000285771,0.001070745,0.00120126,0.003142549,0.002928753,0.00293355,0.000337872,0.002948352,0.001995798,0.001724824,0.005762727,0.003862151,0.006738225,0.010949305,0.004293403,0.00382726,0.002010591,0.002010591,0.001440472,6.33E-05,0.001147059,0.002169019,0.002029308,0.000427977,0.008421565,0.001222687,0.005448903,0.001158209,0.000194634,0.001592024,0.005248205,0.003918823,0.005486648,0.001912573,0.001310506,0.003548653,0.00121187,0.00529125,0.001034689,0.001858974,0.005428145,0.005249236,0.003716934,0.002147013,0.001121465,0.00632138,0,0.001684548,0.002125266,0.000609334,0.00281234,0.010792502,0,0.001161059,0.008110704,0.002228674,0.000308833,0.004573038,0.001656602,0.001899239,0.002676181,0.002662341,0.001734648,0.001954741,0.004434055,0.000203983,0.000183849,0.00029079,0,0.000680628,0.004947964,0,0,0.004970126,0.006976139,0.003393183,0.000292545,0.000602834,0.003503584,0.005095651,0.000659887,0.002733994,0.00537858,0.008038522
1700,0.000869827,0.000869827,0.00199664,0.000422576,0.003333849,0.00223236,0.002621596,0.000244427,0.003095173,0.002096394,0.001588937,0.005713087,0.003298712,0.006814955,0.011403215,0.00428045,0.004049459,0.002377673,0.002377673,0.001006794,0.00054287,0.00219421,0.002563386,0.001216776,0,0.008160835,0.000189391,0.004406504,0.000553926,0,0.002093857,0.004842856,0.002990681,0.005323802,0.003296323,0.000277018,0.001415107,0.000458815,0.002732724,0.000284914,0.004041826,0.004461257,0.002485353,0.002461865,0.001932312,0.001153507,0.006025266,0.000670809,0.001311216,0.002743525,0.000914001,0.002555506,0.011240493,0.00012782,0.001268565,0.007759138,0.001512554,0,0.003595595,0.001935436,0.001500504,0.00158857,0.001977494,0.000746862,0.001238003,0.004854123,0,0,0,7.58E-05,0.00056719,0.004152756,0.000627549,0.000324938,0.006101537,0.004776882,0.003123631,0.001078334,0.000232126,0.001634457,0.00470951,0.000609127,0.001380532,0.008722553,0.00787013
1699,0.001549591,0.001549591,0.002934303,0,0.003693895,0.001676982,0.0024316,0.000405446,0.003696465,0.002504582,0.001953881,0.005544815,0.002721428,0.006921851,0.011486979,0.00430506,0.004433514,0.003099649,0.003099649,0.000997341,0.001523738,0.003395936,0.001605638,0.00037999,6.13E-05,0.008369419,0,0.002558615,0.00065464,0.000259512,0.002336122,0.004522844,0.002415341,0.004459467,0.005173641,0,0.000478959,0,0.000435494,0,0.006717151,0.003579183,0.000316025,0.000530991,0.001202327,0.001505968,0.005484537,0.000619208,0.000919672,0.003992924,0.001477636,0.00265824,0.0100187,0.000766919,0.001892097,0.007648117,0.000709428,0.000554083,0.002408699,0.002312682,0.001028317,0.000421861,0.000804695,0,0.000742802,0.004247358,0.000611948,0.000168529,0.000229927,0.001018526,0.000264689,0.003318891,0.000851674,0.001559702,0.007091522,0.002388441,0.002766871,0.002394785,6.93E-06,0.000448755,0.004394392,0.002233465,0.0007038,0.011974917,0.00775523
1698,0.002521891,0.002521891,0.004082543,0.000132009,0.004213827,0.00117584,0.00224308,0.000853042,0.004471556,0.002683849,0.002194374,0.005301383,0.002121068,0.006940008,0.011306999,0.00453087,0.004879218,0.004109905,0.004109905,0.001232496,0.002762362,0.004600113,0.002197188,0,0.000630968,0.007900106,0.00068515,0.002037416,0.000919014,0.001505169,0.003235961,0.00435217,0.002247081,0.004021036,0.006936381,0.000474126,0,0.000179536,0,0.00023243,0.009698608,0.00327385,0,0,0.000944686,0.002146805,0.004866561,0.002270431,0.001493329,0.00515216,0.00217837,0.003094859,0.009122719,0.001369498,0.002064106,0.007580271,0,0.001562333,0.001396347,0.002476702,0.001059796,0,3.42E-05,8.43E-05,0.000521264,0.002940479,0.00058645,0.000643473,0.000615393,0.002222238,0,0.00283293,0.000896499,0.002950437,0.008179158,0.001584411,0.002425967,0.004044602,0.000110866,0,0.004101086,0.002994873,0.000290994,0.015062569,0.007713078
1697,0.004024474,0.004024474,0.005623539,0.000873188,0.004855788,0.000733273,0.00215714,0.001562907,0.005108126,0.002049965,0.001615845,0.005044209,0.001561475,0.006916579,0.010850826,0.004873254,0.005397463,0.005260758,0.005260758,0.001625997,0.004180155,0.005682515,0.001774652,0.000270844,0.00155074,0.008082617,0.00246487,0.000379054,0.000730175,0.002984387,0.004689548,0.00435217,0.002496757,0.00389577,0.008796071,0.001864541,6.53E-05,0.001007398,0.000979861,0.000847245,0.012799856,0.002841295,0.001087342,0.001013709,0.002104073,0.002979894,0.004287209,0.003044441,0.002422107,0.00544841,0.003442738,0.003788313,0.006597681,0.001835128,0.002816644,0.007580271,0.000287787,0.002924833,0.002269065,0.002017446,0.001112261,0.000230705,0,0.000855278,5.21E-05,0.003033827,0.001274892,0.000704756,0.00110906,0.003173423,0.000932712,0.002501593,0.002689498,0.004432155,0.00917251,0.000496607,0.002457679,0.005789665,0.000519685,0.000222319,0.003881529,0.003147155,3.38E-05,0.017667884,0.007760365
1696,0.005801329,0.005801329,0.007240002,0.002199401,0.005572256,0.000613953,0.002316382,0.002491775,0.00560877,0.000840557,0.000533458,0.004769927,0.001058803,0.006851563,0.010159207,0.005273494,0.006011777,0.006425783,0.006425783,0.002177843,0.005655346,0.006521744,0.00152113,0.00110763,0.002792485,0.007717595,0.005336375,0.002321706,0.00130928,0.004930727,0.005572083,0.004501509,0.003131802,0.005160956,0.010444232,0.004000772,0.001589274,0.002074642,0.002536752,0.002076876,0.015665959,0.002332406,0.002528203,0.003716934,0.002683766,0.003845024,0.004325832,0.005263271,0.003405518,0.006015147,0.005057474,0.004610184,0.005050077,0.002510747,0.003053156,0.007648117,0.001137762,0.003969416,0.001361439,0.001361366,0.001238178,0.000968962,0.000642044,0.002120125,0,0.002100342,0.002524287,0.001639323,0.002251934,0.004250872,0.002256156,0.002612039,0.003810121,0.005367976,0.009825765,0,0.002854079,0.007681001,0.001001259,0.000922212,0.003697937,0.004873014,0,0.019464677,0.007836751
