freq,HEWL.0_1MNaPhos_1,HEWL.0_1MNaPhos_2,HEWL.0_1MNaPhos_3,a_chymotrypsinogenA.0_1MNaPhos_1,a_chymotrypsinogenA.0_1MNaPhos_2,a_chymotrypsinogenA.0_1MNaPhos_3,RNaseA.0_1MNaPhos_1,RNaseA.0_1MNaPhos_2,RNaseA.0_1MNaPhos_3
1589,1.474207759,1.480066824,1.483304384,1.5168885,1.526603688,1.522892269,1.698406822,1.707603919,1.701610223
1590,1.458245518,1.460630718,1.463615058,1.499458373,1.51119931,1.5075749,1.681573266,1.689282963,1.685795165
1591,1.448960531,1.448454493,1.45105342,1.489881044,1.50290318,1.499620138,1.672807777,1.67889358,1.677893308
1592,1.4409004,1.438487728,1.440477754,1.483514783,1.496560171,1.49404842,1.667617176,1.671848458,1.673304766
1593,1.434496969,1.431564243,1.432630585,1.4816021,1.492899403,1.491764422,1.667392525,1.669444526,1.673313893
1594,1.430201221,1.428370098,1.428181576,1.485024313,1.49259876,1.493489491,1.673007758,1.672531226,1.678753668
1595,1.428047276,1.428506709,1.427015271,1.492724118,1.495637579,1.498718011,1.682774936,1.67967408,1.688158215
1596,1.430052208,1.433391445,1.430907031,1.505246604,1.50390767,1.508724729,1.696452827,1.690954655,1.701574116
1597,1.439715978,1.445924565,1.443115109,1.524619752,1.520783737,1.526267281,1.715283091,1.707937413,1.720530849
1598,1.445754969,1.454243756,1.45210614,1.538147981,1.534838954,1.539339362,1.725820535,1.717482897,1.731845765
1599,1.45893271,1.468920063,1.468245994,1.556285778,1.556363628,1.558342563,1.738444513,1.729963897,1.745697498
1600,1.477958016,1.488808767,1.489715917,1.578400625,1.583303627,1.581940226,1.753039171,1.744984619,1.76136357
1601,1.498199149,1.509436102,1.511352185,1.600552293,1.610254422,1.605465877,1.766201018,1.758852404,1.77482014
1602,1.527561514,1.538865395,1.540528444,1.63133745,1.64434878,1.636790157,1.787063645,1.78041173,1.794580711
1603,1.560555177,1.571701558,1.571529591,1.665636078,1.679528642,1.670349734,1.811280399,1.805106703,1.816038512
1604,1.598476515,1.609148369,1.606338425,1.704159617,1.717130377,1.707252795,1.841038662,1.835152822,1.842190671
1605,1.641325968,1.651079021,1.645810469,1.746147036,1.757306932,1.747290369,1.877183239,1.871466895,1.874889594
1606,1.689986634,1.698249362,1.691683902,1.791719961,1.801093914,1.791136143,1.921441591,1.915848391,1.916870343
1607,1.744267419,1.750358932,1.744551589,1.840059368,1.848531731,1.838496523,1.974450831,1.96900114,1.96968387
1608,1.803398392,1.806749725,1.803547682,1.891419444,1.900059219,1.88982135,2.036069559,2.030785064,2.032943099
1609,1.874196968,1.874500477,1.874799758,1.954756856,1.964362212,1.95404017,2.113609039,2.108468613,2.112931154
1610,1.945955391,1.943167558,1.946899078,2.021524031,2.032613754,2.022574099,2.196852842,2.19179172,2.198388786
1611,2.026647902,2.02098934,2.027120966,2.101853924,2.114666941,2.10552328,2.294263137,2.28917325,2.296737861
1612,2.108090728,2.100048009,2.107021025,2.189410986,2.203805254,2.196201299,2.397425248,2.392227489,2.399056768
1613,2.195837023,2.186167275,2.192869672,2.290904776,2.306131279,2.300256953,2.510058317,2.504864396,2.50974816
1614,2.286132618,2.275864228,2.281762313,2.403644057,2.418316173,2.413842157,2.626357362,2.621491803,2.623851706
1615,2.375379628,2.365812242,2.370950642,2.525093882,2.537187377,2.53326511,2.740673688,2.736673828,2.736563361
1616,2.462432801,2.455061341,2.460013004,2.655053947,2.662068861,2.657414172,2.850298788,2.84787114,2.845924858
1617,2.547544386,2.543396658,2.54882741,2.793693255,2.794063781,2.787681372,2.95816945,2.957801929,2.95479719
1618,2.63197769,2.631272877,2.637717091,2.941661903,2.93548273,2.927037746,3.070422484,3.07218136,3.068814212
1619,2.717643031,2.719788859,2.727647596,3.100252602,3.089284932,3.079105988,3.193859859,3.197387975,3.194271354
1620,2.804500183,2.808099037,2.817639683,3.268815925,3.256472115,3.24554599,3.333288192,3.337808504,3.33547203
1621,2.894673734,2.897996563,2.90932368,3.449518293,3.439673069,3.429234703,3.492212458,3.496806591,3.495676174
1622,2.989964378,2.991754365,3.004759709,3.645306233,3.640281058,3.631119115,3.667937934,3.672021112,3.672381615
1623,3.0924633,3.092013758,3.106371365,3.859523761,3.859891526,3.85228119,3.857491234,3.860858637,3.862849914
1624,3.203010806,3.200165175,3.215331363,4.094264012,4.098849031,4.09255201,4.056648093,4.059474854,4.063091748
1625,3.324027182,3.319183515,3.334385363,4.352813889,4.358846418,4.353135523,4.262929584,4.265738993,4.270824592
